TYPE,RC,Site,MRBTS_Id,MRBTS_Name,NRBTS_Name,NRBTS_Id,LNBTS_Name,LNBTS_Id,RNC_Name,RNC_Id,WBTS_Name,WBTS_Id,BSC_Name,BSC_Id,BCF_Name,BCF_Id,SMOD,BBMOD,RMOD_5G,RMOD_LTE,RMOD_3G,RMOD_2G,RMOD_RFS_SA,TECH_RFS_SA,creation_date
SRAN/LTE,rc8,CF02180,81502,CF02180GUL-81502,,,CF02180L200,4392,RTORH,369,CF02180U100,4141,BSAL3,403163,CF02180G100,853,FSMF,FBBA+FBBA,,FXFC-1/FXFC-2,FXFC-1/FXFC-2,FXFC-2,,,7/23/24
SRAN/LTE,rc8,CF02180,1954,CF02180L100,,,CF02180L100,1954,,,,,,,,,FSMF,FBBC,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02182,80143,CF02182GUL-80143,,,CF02182L100,571,RJONG,371,CF02182U100,4078,BJONO,405953,CF02182G100,118,ASIA,ABIA+ABIA+ABIA,,FXFC-1/FXFC-2/FRIG-3/FRIG-4/FRIG-5/FRPA-6/AHHB-7/AHHB-8/AHHB-9,FXFC-1/FXFC-2,FXFC-1/FXFC-2,,,7/23/24
SRAN/LTE,rc8,CF02186,70060,CF02186UL-70060,,,CF02186L100,6175,RTORD,357,CF02186U100,4460,,,,,FSMF,FBBA+FBBA,,FXFC-1,FXFC-1,,,,7/23/24
SRAN/LTE,rc8,CF02187,70394,CF02187UL-70394,,,CF02187L200,8262,RJOND,356,CF02187U100,1061,,,,,FSMF,FBBA+FBBA,,FXFC-1/FXFC-2,FXFC-1/FXFC-2,,,,7/23/24
SRAN/LTE,rc8,CF02187,242,CF02187L100,,,CF02187L100,242,,,,,,,,,FSMF,FBBA,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02188,81706,CF02188GUL-81706,,,CF02188L100,725,RTORH,369,CF02188U100,5108,BSAL3,403163,CF02188G100,1837,ASIA,ABIA+ABIA+ABIA,,AHFIG-1/AHFIG-2/AHFIG-3/FRPA-4/AHHB-5/AHHB-6/AHHB-7,AHFIG-1/AHFIG-2/AHFIG-3,AHFIG-1/AHFIG-2/AHFIG-3,,,7/23/24
SRAN/LTE,rc8,CF02189,81409,CF02189GUL-81409,,,CF02189L200,4396,RTORH,369,CF02189U100,4441,BLAU5,405956,CF02189G100,2634,FSMF,FBBA+FBBA,,FXFC-2,FXFC-3,FXFC-2,,,7/23/24
SRAN/LTE,rc8,CF02189,370,CF02189L100,,,CF02189L100,370,,,,,,,,,FSMF,FBBA,,FRIG-1/FRIG-2/FRIG-3,,,,,7/23/24
SRAN/LTE,rc8,CF02190,71205,CF02190G-71205,,,,,,,,,BLAU5,405956,CF02190G100,1614,FSMF,FBBA,,,,FXFC-1,,,7/23/24
